Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset,Site,Species,Planting Date,School,Grade
711,So-SaSp125,NA,Point,38.2254672783333,-122.827772646667,69.395,-27.65,SoMar,SaSp,NA,NA,NA
710,So-SaSp124,NA,Point,38.225469135,-122.827798763333,69.86,-27.65,SoMar,SaSp,NA,NA,NA
709,So-SaSp123,NA,Point,38.2254593266667,-122.827814623333,69.548,-27.65,SoMar,SaSp,NA,NA,NA
708,So-SaSp122,NA,Point,38.2254506783333,-122.827827266667,69.602,-27.65,SoMar,SaSp,NA,NA,NA
707,So-SaSp121,NA,Point,38.2254345683333,-122.827832325,68.975,-27.65,SoMar,SaSp,NA,NA,NA
706,So-SaSp120,NA,Point,38.2254279666667,-122.827838163333,68.999,-27.65,SoMar,SaSp,NA,NA,NA
705,So-SaSp119,NA,Point,38.2254118866667,-122.827840906667,68.582,-27.65,SoMar,SaSp,NA,NA,NA
704,So-SaSp118,NA,Point,38.22539893,-122.827853708333,68.882,-27.65,SoMar,SaSp,NA,NA,NA
703,So-SaSp116,NA,Point,38.225329685,-122.827890376667,68.629,-27.65,SoMar,SaSp,NA,NA,NA
702,So-SaSp115,NA,Point,38.2253176616667,-122.827897245,68.586,-27.65,SoMar,SaSp,NA,NA,NA
701,So-SaSp114,NA,Point,38.2253057233333,-122.82791119,68.716,-27.65,SoMar,SaSp,NA,NA,NA
700,So-SaSp113,NA,Point,38.2252995083333,-122.827914983333,68.894,-27.65,SoMar,SaSp,NA,NA,NA
699,So-SaSp112,NA,Point,38.225289485,-122.82791697,68.767,-27.65,SoMar,SaSp,NA,NA,NA
698,So-SaSp111,NA,Point,38.2245708966667,-122.828487273333,67.419,-27.652,SoMar,SaSp,NA,NA,NA
697,So-SaSp110,NA,Point,38.224558455,-122.828497876667,68.092,-27.652,SoMar,SaSp,NA,NA,NA
692,So-BaPi15,NA,Point,38.22752432,-122.826809253333,73.779,-27.645,SoMar,BaPi,NA,NA,NA
691,So-CeTh09,NA,Point,38.2275000066667,-122.826811155,73.944,-27.646,SoMar,CeTh,NA,NA,NA
690,So-BaPi14,NA,Point,38.227478085,-122.826837151667,73.737,-27.646,SoMar,BaPi,NA,NA,NA
689,So-CoSe17,NA,Point,38.2272472083333,-122.826920436667,72.296,-27.646,SoMar,CoSe,NA,NA,NA
684,So-SaNi10,NA,Point,38.2269559816667,-122.826897118333,72.542,-27.647,SoMar,SaNi,NA,NA,NA
683,So-SaSp109,NA,Point,38.2261520933333,-122.827370313333,70.234,-27.648,SoMar,SaSp,NA,NA,NA
682,So-SaSp108,NA,Point,38.22693292,-122.826975625,71.317,-27.647,SoMar,SaSp,NA,NA,NA
681,So-SaSp107,NA,Point,38.226943655,-122.826970438333,71.311,-27.647,SoMar,SaSp,NA,NA,NA
680,So-SaSp106,NA,Point,38.2269548383333,-122.826967245,71.422,-27.647,SoMar,SaSp,NA,NA,NA
679,So-SaSp105,NA,Point,38.226966555,-122.826963195,71.407,-27.647,SoMar,SaSp,NA,NA,NA
678,So-SaSp104,NA,Point,38.2270572583333,-122.82694314,71.942,-27.646,SoMar,SaSp,NA,NA,NA
677,So-SaSp103,NA,Point,38.2270815966667,-122.826942406667,72.085,-27.646,SoMar,SaSp,NA,NA,NA
676,So-SaSp102,NA,Point,38.2270988016667,-122.8269339,71.896,-27.646,SoMar,SaSp,NA,NA,NA
675,So-SaSp101,NA,Point,38.2271161333333,-122.826925668333,71.619,-27.646,SoMar,SaSp,NA,NA,NA
674,So-SaSp100,NA,Point,38.2271294383333,-122.82692146,71.439,-27.646,SoMar,SaSp,NA,NA,NA
673,So-SaSp99,NA,Point,38.227148295,-122.826932045,71.597,-27.646,SoMar,SaSp,NA,NA,NA
672,So-SaSp98,NA,Point,38.2274548916667,-122.826957736667,73.434,-27.646,SoMar,SaSp,NA,NA,NA
671,So-SaSp97,NA,Point,38.2274648783333,-122.826952778333,73.171,-27.646,SoMar,SaSp,NA,NA,NA
670,So-SaSp96,NA,Point,38.2274773183333,-122.826945875,72.809,-27.646,SoMar,SaSp,NA,NA,NA
669,So-SaSp95,NA,Point,38.22749543,-122.82693884,72.802,-27.646,SoMar,SaSp,NA,NA,NA
668,So-LoIn12,NA,Point,38.227650035,-122.826878356667,73.699,-27.645,SoMar,LoIn,NA,NA,NA
667,So-LoIn11,NA,Point,38.2276696883333,-122.826858165,73.372,-27.645,SoMar,LoIn,NA,NA,NA
666,So-PoFr06 😈,NA,Point,38.2277176866667,-122.826842523333,74.534,-27.645,SoMar,PoFr,NA,NA,NA
665,So-FrLa51,NA,Point,38.22934188,-122.825989673333,82.149,-27.642,SoMar,FrLa,NA,NA,NA
664,So-LoIn10,NA,Point,38.2292192516667,-122.826038673333,81.407,-27.642,SoMar,LoIn,NA,NA,NA
663,So-FrLa50,NA,Point,38.2290518216667,-122.826144498333,80.956,-27.642,SoMar,FrLa,NA,NA,NA
662,So-RuUr45,NA,Point,38.2289132433333,-122.826194378333,80.304,-27.643,SoMar,RuUr,NA,NA,NA
661,So-CeTh08,NA,Point,38.2288896166667,-122.826225776667,80.641,-27.643,SoMar,CeTh,NA,NA,NA
660,So-FrLa49,NA,Point,38.2288634483333,-122.826205855,80.056,-27.643,SoMar,FrLa,NA,NA,NA
659,So-SaNi09,NA,Point,38.2288225533333,-122.826238231667,80.071,-27.643,SoMar,SaNi,NA,NA,NA
658,So-FrLa48,NA,Point,38.2287613483333,-122.826284016667,80.013,-27.643,SoMar,FrLa,NA,NA,NA
