Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
546,So-2a-left,,Point,38.22946209,-122.8258904,83.103,-27.641
545,So-2a-right,,Point,38.2294979,-122.8260516,83.168,-27.641
640,So-2b-left,,Point,38.22766487,-122.8267132,73.611,-27.645
641,So-2b-right,,Point,38.22780775,-122.826841,75.304,-27.645
547,So-AeCa22,,Point,38.22954151,-122.8258946,83.351,-27.641
549,So-AeCa23,,Point,38.22961685,-122.8259214,83.03,-27.641
550,So-AeCa24,,Point,38.22968875,-122.8258955,83.926,-27.641
574,So-AeCa25,,Point,38.23048153,-122.8255267,87.635,-27.639
576,So-AeCa26,,Point,38.23055746,-122.8254611,88.635,-27.639
579,So-AeCa27,,Point,38.23066136,-122.8253978,88.868,-27.639
580,So-AeCa28,,Point,38.23070335,-122.8253629,88.844,-27.639
582,So-AeCa29,,Point,38.23077444,-122.8253468,89.09,-27.639
585,So-AeCa30,,Point,38.2309355,-122.8253103,89.894,-27.638
587,So-AeCa31,,Point,38.22944602,-122.8259177,82.053,-27.641
622,So-AeCa32,,Point,38.22859353,-122.8261223,77.838,-27.643
520,So-BaPi01,,Point,38.23127473,-122.8252477,91.404,-27.638
521,So-BaPi02,,Point,38.23124796,-122.8252762,91.52,-27.638
525,So-BaPi03,,Point,38.231034,-122.8253243,90.56,-27.638
526,So-BaPi04,,Point,38.231003,-122.8253579,90.715,-27.638
535,So-BaPi05,,Point,38.23031562,-122.8258008,85.293,-27.64
536,So-BaPi06,,Point,38.23027824,-122.825819,86.114,-27.64
537,So-BaPi07,,Point,38.23023121,-122.8258309,85.393,-27.64
560,So-BaPi08,,Point,38.23003253,-122.8257017,85.633,-27.64
564,So-BaPi09,,Point,38.23009116,-122.8256946,85.608,-27.64
571,So-BaPi10,,Point,38.23039488,-122.82562,86.959,-27.639
572,So-BaPi11,,Point,38.23045735,-122.8255798,87.579,-27.639
573,So-BaPi12,,Point,38.23045331,-122.8255247,88.101,-27.639
620,So-BaPi13,,Point,38.22862709,-122.8261564,77.991,-27.643
690,So-BaPi14,,Point,38.22747809,-122.8268372,73.737,-27.646
692,So-BaPi15,,Point,38.22752432,-122.8268093,73.779,-27.645
685,So-CaBa-B1,,Point,38.22704363,-122.8269179,72.155,-27.646
686,So-CaBa-B2,,Point,38.22702832,-122.8268986,72.229,-27.646
687,So-CaBa-B3,,Point,38.22714728,-122.8268549,72.842,-27.646
693,So-CaBa-B3.01,,Point,38.22597758,-122.8271679,71.313,-27.648
694,So-CaBa-B3.02,,Point,38.22599178,-122.8271852,71.25,-27.648
