Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
120,So-QuAg22,"",Point,38.2269633233333,-122.826963,71.535,-27.647
119,So-SaEx03,"",Point,38.2269633233333,-122.826963,71.535,-27.647
118,So-SaEx02,"",Point,38.2269633233333,-122.826963,71.535,-27.647
117,So-SaEx01,"",Point,38.2269633233333,-122.826963,71.535,-27.647
116,So-CoSe05,"",Point,38.2272378183333,-122.826929973333,72.21,-27.646
115,So-CoSe04,"",Point,38.2272585916667,-122.826942691667,72.025,-27.646
114,So-SaSp11,"",Point,38.227342095,-122.826982345,72.76,-27.646
113,So-SaSp10,"",Point,38.2273743233333,-122.82698856,72.612,-27.646
112,So-SaSp09,"",Point,38.2273875483333,-122.826985863333,73.049,-27.646
111,So-SaSp08,"",Point,38.2274152433333,-122.826974448333,73.055,-27.646
110,So-QuAg21,"",Point,38.22744174,-122.826998671667,73.7,-27.646
109,So-QuAg20,"",Point,38.2275412533333,-122.826954428333,73.23,-27.646
108,So-CoSe03,"",Point,38.22761877,-122.826885766667,72.35,-27.645
107,So-CoSe02,"",Point,38.227628315,-122.826880315,72.59,-27.645
106,So-CoSe01,"",Point,38.2276353683333,-122.826875375,72.769,-27.645
105,So-QuAg19,"",Point,38.2278319383333,-122.826780273333,74.846,-27.645
104,So-QuAg18,"",Point,38.2278860716667,-122.826729431667,75.234,-27.645
103,So-QuAg17,"",Point,38.2279075,-122.826682261667,75.063,-27.645
102,So-SaSp07,"",Point,38.2279629733333,-122.826589186667,74.117,-27.645
101,So-SaSp06,"",Point,38.227979155,-122.82657669,74.104,-27.644
100,So-SaSp05,"",Point,38.2279936366667,-122.826558836667,74.567,-27.644
99,So-QuAg16,"",Point,38.2280577216667,-122.826536916667,75.427,-27.644
98,So-QuAg15,"",Point,38.2281051733333,-122.826468498333,75.609,-27.644
97,So-QuAg14,"",Point,38.228494735,-122.8263432,79.037,-27.643
96,So-QuAg13,"",Point,38.228564195,-122.826300958333,78.469,-27.643
95,So-QuAg12,"",Point,38.22860255,-122.826343871667,78.276,-27.643
94,So-QuAg11,"",Point,38.228809545,-122.826285476667,78.759,-27.643
93,So-SaSp04,"",Point,38.2289166033333,-122.826187648333,78.783,-27.643
92,So-SaSp03,"",Point,38.2289461816667,-122.826187931667,79.144,-27.642
91,So-QuAg10,"",Point,38.2291845766667,-122.826118381667,80.247,-27.642
90,So-QuAg09,"",Point,38.22928344,-122.82606631,80.891,-27.642
89,So-QuAg08,"",Point,38.229399325,-122.826042428333,81.337,-27.642
88,So-QuAg07,"",Point,38.229869615,-122.825968871667,83.588,-27.641
87,So-QuAg06,"",Point,38.2299702266667,-122.825935188333,83.443,-27.64
86,So-QuAg05,"",Point,38.230081295,-122.825860066667,84.138,-27.64
85,So-QuAg04,"",Point,38.2301934383333,-122.825853628333,84.565,-27.64
84,So-SaSp02,"",Point,38.2302816616667,-122.825779125,84.311,-27.64
83,So-SaSp01,"",Point,38.23031522,-122.825773475,84.88,-27.64
82,So-QuAg03,"",Point,38.2304508883333,-122.825720983333,86.463,-27.639
81,So-QuAg02,"",Point,38.2305441483333,-122.825684566667,86.506,-27.639
80,So-QuAg01,"",Point,38.2306311733333,-122.825614005,87.466,-27.639
79,So-UmCa03,"",Point,38.2307056166667,-122.825574528333,89.142,-27.639
78,So-UmCa02,"",Point,38.2307334916667,-122.825518683333,89.291,-27.639
77,So-UmCa01,"",Point,38.230791455,-122.825492146667,90.16,-27.639
