Number,Name,Description,GeometryType,Latitude,Longitude,Elevation,GeoidOffset
447,Tr-AeCa21,,Point,38.26973936,-122.9223954,3.235,-27.674
446,Tr-AeCa01,,Point,38.27009683,-122.9223896,2.582,-27.674
451,Tr-CaBa-B1,,Point,38.2696842,-122.9220474,0.178,-27.674
452,Tr-CaBa-B2,,Point,38.26966079,-122.9219392,-0.108,-27.674
453,Tr-CaBa-B3,,Point,38.26959492,-122.9219187,0.056,-27.674
454,Tr-CaBa-B4,,Point,38.26953369,-122.9219385,0.051,-27.674
381,Tr-CeTh01,,Point,38.27024411,-122.9228557,7.558,-27.674
382,Tr-CeTh02,,Point,38.27022194,-122.9228323,7.212,-27.674
383,Tr-CeTh03,,Point,38.27008263,-122.9227687,8.672,-27.674
384,Tr-CeTh04,,Point,38.27005694,-122.9228175,9.854,-27.674
387,Tr-CeTh05,,Point,38.27002633,-122.9227626,10.652,-27.674
388,Tr-CeTh06,,Point,38.27007781,-122.9227015,9.388,-27.674
408,Tr-CeTh07,,Point,38.27001228,-122.9228491,12.415,-27.674
409,Tr-CeTh08,,Point,38.27004759,-122.9229228,13.829,-27.674
411,Tr-CeTh09,,Point,38.26996056,-122.9229322,15.348,-27.674
412,Tr-CeTh10,,Point,38.26992764,-122.9229501,16.605,-27.674
415,Tr-CeTh11,,Point,38.26983462,-122.9229179,16.824,-27.675
425,Tr-CeTh12,,Point,38.26973195,-122.922784,15.885,-27.675
426,Tr-CeTh13,,Point,38.26976344,-122.9227889,15.421,-27.675
427,Tr-CeTh14,,Point,38.2697903,-122.922781,14.883,-27.675
431,Tr-CeTh15,,Point,38.26966443,-122.9226458,12.497,-27.675
432,Tr-CeTh16,,Point,38.26964567,-122.9226208,11.976,-27.675
435,Tr-CeTh17,,Point,38.26980481,-122.9226548,11.48,-27.674
436,Tr-CeTh18,,Point,38.26982755,-122.9226653,11.717,-27.674
369,Tr-CrDo01,,Point,38.27034687,-122.9224754,1.442,-27.673
370,Tr-CrDo02,,Point,38.27035499,-122.9225354,1.441,-27.673
371,Tr-CrDo03,,Point,38.27032068,-122.9225664,1.92,-27.673
378,Tr-CrDo04,,Point,38.27031559,-122.9229462,9.361,-27.674
379,Tr-CrDo05,,Point,38.27023867,-122.9229515,9.987,-27.674
380,Tr-CrDo06,,Point,38.27027608,-122.9228871,7.993,-27.674
392,Tr-CrDo07,,Point,38.26999364,-122.9225423,6.755,-27.674
394,Tr-CrDo08,,Point,38.26995042,-122.9225566,7.113,-27.674
417,Tr-CrDo09,,Point,38.26971803,-122.9228779,17.766,-27.675
418,Tr-CrDo10,,Point,38.26965475,-122.9228712,18.592,-27.675
419,Tr-CrDo11,,Point,38.26957377,-122.9228109,18.212,-27.675
440,Tr-CrDo12,,Point,38.26954588,-122.9224942,7.942,-27.675
441,Tr-CrDo13,,Point,38.26951879,-122.92255,9.886,-27.675
442,Tr-CrDo14,,Point,38.26946899,-122.9225754,10.936,-27.675
443,Tr-CrDo15,,Point,38.26946905,-122.922632,12.361,-27.675
444,Tr-CrDo16,,Point,38.26954102,-122.9226549,12.708,-27.675
445,Tr-CrDo17,,Point,38.26949449,-122.9227149,14.656,-27.675
464,Tr-CrDo18,,Point,38.26915605,-122.9218058,-0.298,-27.675
465,Tr-CrDo19,,Point,38.26912059,-122.9217996,-0.232,-27.675
466,Tr-CrDo20,,Point,38.26912182,-122.9217632,-0.184,-27.675
471,Tr-CrDo21,,Point,38.2689926,-122.9217497,-0.776,-27.675
472,Tr-CrDo22,,Point,38.26898997,-122.9217717,-0.701,-27.675
473,Tr-CrDo23,,Point,38.26896669,-122.921756,-0.762,-27.675
374,Tr-FrCa01,,Point,38.27013826,-122.9225896,4.552,-27.674
375,Tr-FrCa02,,Point,38.27016844,-122.9226165,5.102,-27.674
396,Tr-FrCa03,,Point,38.2699788,-122.9226268,8.851,-27.674
397,Tr-FrCa04,,Point,38.26994346,-122.9226168,8.885,-27.674
420,Tr-FrCa05,,Point,38.26963852,-122.9228268,18.456,-27.675
434,Tr-FrCa06,,Point,38.2697279,-122.9226099,11.081,-27.674
448,Tr-FrCa07,,Point,38.26961373,-122.9221121,0.632,-27.674
449,Tr-FrCa08,,Point,38.26958598,-122.9221294,0.8,-27.674
450,Tr-FrCa09,,Point,38.26955733,-122.9221261,0.571,-27.674
458,Tr-FrCa10,,Point,38.26923263,-122.92173,0.123,-27.674
459,Tr-FrCa11,,Point,38.26922993,-122.9217003,0.238,-27.674
460,Tr-FrCa12,,Point,38.26920872,-122.9217374,0.464,-27.674
362,Tr-FrLa01,,Point,38.27012783,-122.9223152,1.079,-27.673
365,Tr-FrLa02,,Point,38.27021343,-122.9223859,0.856,-27.673
366,Tr-FrLa03,,Point,38.27028673,-122.9223656,0.67,-27.673
368,Tr-FrLa04,,Point,38.27029711,-122.9224681,1.88,-27.673
455,Tr-FrLa05,,Point,38.26954204,-122.9218457,0.159,-27.674
461,Tr-FrLa06,,Point,38.26921429,-122.9218084,0.402,-27.674
462,Tr-FrLa07,,Point,38.26917926,-122.9218187,0.402,-27.675
463,Tr-FrLa08,,Point,38.26915912,-122.9218304,0.168,-27.675
474,Tr-FrLa09,,Point,38.26897756,-122.921887,-0.64,-27.675
475,Tr-FrLa10,,Point,38.26894534,-122.9218731,-0.583,-27.675
487,Tr-FrLa11,,Point,38.26908694,-122.9220008,0.177,-27.675
488,Tr-FrLa12,,Point,38.26911946,-122.9220721,0.084,-27.675
490,Tr-FrLa13,,Point,38.26861179,-122.9219819,-0.365,-27.676
405,Tr-HeAr01,,Point,38.26992125,-122.9226834,10.988,-27.674
406,Tr-HeAr02,,Point,38.26988377,-122.9227466,12.736,-27.674
407,Tr-HeAr03,,Point,38.26996638,-122.9227482,11.838,-27.674
422,Tr-HeAr04,,Point,38.26962611,-122.9227835,16.883,-27.675
424,Tr-HeAr05,,Point,38.26966018,-122.9227879,16.864,-27.675
428,Tr-HeAr06,,Point,38.26978547,-122.9227324,13.516,-27.674
429,Tr-HeAr07,,Point,38.26976427,-122.9226883,12.538,-27.674
430,Tr-HeAr08,,Point,38.26972345,-122.9226826,13.103,-27.675
433,Tr-HeAr09,,Point,38.26970292,-122.9225944,10.848,-27.674
437,Tr-HeAr10,,Point,38.26984623,-122.9226894,11.865,-27.674
410,Tr-LoIn01,,Point,38.26997323,-122.9229273,14.999,-27.674
413,Tr-LoIn02,,Point,38.26992327,-122.9229291,16.083,-27.674
414,Tr-LoIn03,,Point,38.26984957,-122.9229059,16.454,-27.675
421,Tr-LoIn04,,Point,38.26964494,-122.9228189,17.661,-27.675
423,Tr-LoIn05,,Point,38.26964995,-122.9227817,16.813,-27.675
367,Tr-RiCa01,,Point,38.27021687,-122.9224615,2.353,-27.673
372,Tr-RiCa02,,Point,38.27020148,-122.9225906,3.063,-27.674
373,Tr-RiCa03,,Point,38.27018255,-122.9225561,2.944,-27.674
376,Tr-RiCa04,,Point,38.27027925,-122.9227467,5.81,-27.674
377,Tr-RiCa05,,Point,38.27030699,-122.9227572,5.47,-27.674
416,Tr-RiCa06,,Point,38.26983266,-122.922817,14.472,-27.674
456,Tr-RiCa07,,Point,38.26932324,-122.9217119,0.22,
457,Tr-RiCa08,,Point,38.26926132,-122.9217344,0.151,-27.674
469,Tr-RiCa09,,Point,38.26917224,-122.9217131,0.705,-27.674
476,Tr-RiCa10,,Point,38.26888819,-122.9218016,-0.49,-27.675
477,Tr-RiCa11,,Point,38.26887553,-122.9217441,0.044,-27.675
478,Tr-RiCa12,,Point,38.26891113,-122.9217123,0.415,-27.675
482,Tr-RiCa13,,Point,38.26931836,-122.9215823,0.729,-27.674
483,Tr-RiCa14,,Point,38.26930591,-122.9215589,0.511,-27.674
491,Tr-RiSa01,,Point,38.26992949,-122.922476,5.744,-27.674
492,Tr-RiSa02,,Point,38.26994769,-122.9224963,6.442,-27.674
493,Tr-RiSa03,,Point,38.26996608,-122.9225312,7.513,-27.674
494,Tr-RiSa04,,Point,38.27013499,-122.9224687,3.294,-27.674
495,Tr-RiSa05,,Point,38.27016011,-122.9224982,3.283,-27.674
498,Tr-RiSa06,,Point,38.27022411,-122.9225969,4.167,-27.674
499,Tr-RiSa07,,Point,38.2702294,-122.9226309,4.248,-27.674
500,Tr-RiSa08,,Point,38.27019415,-122.9226264,4.477,-27.674
502,Tr-RiSa09,,Point,38.26941458,-122.9215725,0.824,-27.674
506,Tr-RiSa10,,Point,38.26958371,-122.9218594,-2.151,-27.674
507,Tr-RiSa11,,Point,38.26956633,-122.9218219,-1.879,-27.674
508,Tr-RiSa12,,Point,38.26952612,-122.9218366,-0.951,-27.674
509,Tr-RiSa13,,Point,38.26942626,-122.9215959,0.153,-27.674
510,Tr-RiSa14,,Point,38.26936727,-122.9215725,0.336,-27.674
511,Tr-RiSa15,,Point,38.26933884,-122.9216025,0.061,-27.674
514,Tr-RiSa16,,Point,38.26883953,-122.9218232,-0.339,-27.675
470,Tr-RoCa01,,Point,38.26919791,-122.9216773,0.503,-27.674
467,Tr-RoCa02,,Point,38.26913838,-122.92171,0.387,-27.674
468,Tr-RoCa03,,Point,38.26916233,-122.9216986,0.788,-27.674
480,Tr-RoCa04,,Point,38.26909838,-122.9216333,0.482,-27.674
481,Tr-RoCa05,,Point,38.26911408,-122.92162,0.534,-27.674
485,Tr-RoCa06,,Point,38.2693416,-122.921557,0.383,-27.674
486,Tr-RoCa07,,Point,38.26939617,-122.9215655,0.423,-27.674
496,Tr-RoCa08,,Point,38.27022072,-122.9224963,2.407,-27.673
497,Tr-RoCa09,,Point,38.27019222,-122.9225654,3.137,-27.674
501,Tr-RoCa10,,Point,38.27028946,-122.9227287,4.486,-27.674
399,Tr-RuUr01,,Point,38.26988441,-122.9225392,6.974,-27.674
401,Tr-RuUr02,,Point,38.26986268,-122.9225367,7.167,-27.674
402,Tr-RuUr03,,Point,38.26986842,-122.9225142,6.674,-27.674
403,Tr-RuUr04,,Point,38.26985132,-122.9224592,4.967,-27.674
404,Tr-RuUr05,,Point,38.26983226,-122.9224533,4.93,-27.674
359,Tr-SaNi01,,Point,38.27005936,-122.9223334,1.293,-27.674
360,Tr-SaNi02,,Point,38.27005985,-122.9223677,1.67,-27.674
361,Tr-SaNi03,,Point,38.27002273,-122.9223666,1.985,-27.674
363,Tr-SaNi04,,Point,38.27018278,-122.9223477,0.824,-27.673
364,Tr-SaNi05,,Point,38.27021261,-122.9223289,0.527,-27.673
489,Tr-SaSp20,,Point,38.26871408,-122.9220119,-0.17,-27.675
389,Tr-ScCa01,,Point,38.27004283,-122.9226034,7.912,-27.674
390,Tr-ScCa02,,Point,38.27002877,-122.9225836,7.51,-27.674
391,Tr-ScCa03,,Point,38.27001876,-122.9225982,7.993,-27.674
395,Tr-ScCa04,,Point,38.26992792,-122.9225693,7.845,-27.674
398,Tr-ScCa05,,Point,38.26990358,-122.9225592,7.743,-27.674
438,Tr-ScCa06,,Point,38.26960558,-122.9224095,4.728,-27.674
503,Tr-ScCa07,,Point,38.26915153,-122.921756,0.205,-27.674
439,Tr-ScCa08,,Point,38.26961031,-122.9223924,4.413,-27.674
504,Tr-ScCa09,,Point,38.26916143,-122.9217201,0.193,-27.674
505,Tr-ScCa10,,Point,38.26916766,-122.921742,0.138,-27.674
512,Tr-ScCa11,,Point,38.26888698,-122.9217702,0.204,-27.675
513,Tr-ScCa12,,Point,38.2688638,-122.9218104,0.031,-27.675
